"Name","Price","Image","Screen","CPU","RAM","Graphics","OS","Weight","Link"
"MSI Prestige PS42 i5 8250U (476VN)","19.990.000₫","https://cdn.tgdd.vn/Products/Images/44/194260/msi-prestige-ps42-i5-8250u-4gb-256gb-14-win10-33397-thumb-123-600x600.jpg","Màn hình: 14 inch, Full HD","CPU: Core i5 Kabylake Refresh, 1.60 GHz","RAM: 4 GB, Ổ cứng SSD 256GB NVMe PCIe","Đồ họa: Intel® HD Graphics 620","HĐH: Windows 10 Home SL","Nặng 1.18kg, PIN 4 cell","https://www.thegioididong.com/laptop/msi-prestige-ps42-i5-8250u-4gb-256gb-14-win10"
"MSI GF63 8RD i7 8750H (221VN)","26.990.000₫","https://cdn.tgdd.vn/Products/Images/44/187931/msi-gf63-8rd-221vn-thumb-600x600.jpg","Màn hình: 15.6 inch, FHD IPS","CPU: i7-8750H, 2.2GHz","RAM: 8GB, Ổ cứng: 1TB + 128G SSD","VGA: NVIDIA GTX1050Ti, 4GB","HĐH: Windows 10 Home","Nang 1.86 kg","https://www.thegioididong.com/laptop/msi-gf63-8rd-221vn"
"Acer Aspire A314 31 C2UX N3350 (NX.GNSSV.008)","6.290.000₫","https://cdn.tgdd.vn/Products/Images/44/170893/acer-aspire-a314-31-c2ux-nxgnssv008-ava-1-600x600.jpg","Màn hình: 14 inch, HD","CPU: Celeron N3350, 1.1 GHz","RAM: 2 GB, Ổ cứng: 500 GB HDD","Đồ họa: Intel HD Graphics","HĐH: Windows 10, DVD: Không","Nặng 1.6 kg, PIN 2 cell","https://www.thegioididong.com/laptop/acer-aspire-a314-31-c2ux-nxgnssv008"
"Acer Aspire A315 31 P2LJ N4200 (NX.GNTSV.010)","7.590.000₫","https://cdn.tgdd.vn/Products/Images/44/165291/acer-aspire-a315-31-p2lj-nxgntsv010-ava-600x600.jpg","Màn hình: 15.6 inch, HD","CPU: Pentium N4200, 1.1 GHz","RAM: 4 GB, Ổ cứng: 500 GB HDD","Đồ họa: Intel HD Graphics","HĐH: Windows 10, DVD: Không","Nặng 2.4 kg, PIN 2 cell","https://www.thegioididong.com/laptop/acer-aspire-a315-31-p2lj-nxgntsv010"
"Acer Aspire E5 476 i3 8130U (NX.GWTSV.002) Xám","9.990.000₫","https://cdn.tgdd.vn/Products/Images/44/160296/acer-aspire-e5-476-i3-8130u-nxgwtsv002-ava-600x600.jpg","Màn hình: 14 inch, HD","CPU: i3-8130U, 2.2 GHz","RAM: 4 GB, Ổ cứng HDD: 500 GB","Đồ họa: Intel UHD Graphics 620","HĐH: Windows 10, DVD: Không","Nặng 1.9 kg, PIN 4 cell","https://www.thegioididong.com/laptop/acer-aspire-e5-476-i3-8130u-nxgwtsv002"
"Acer Aspire E5 576 34ND i3 8130U (NX.GRYSV.004)","10.790.000₫","https://cdn.tgdd.vn/Products/Images/44/184747/acer-aspire-e5-576-34nd-nxgrysv004-600x600.jpg","Màn hình: 15.6 inch, FHD","CPU: i3-8130U, 2.2GHz","RAM: 4GB, Ổ cứng HDD: 1TB","Đồ họa: Intel UHD Graphics 620","HĐH: Windows 10, DVD: Không","Nặng 2.2 kg, PIN 4 cell","https://www.thegioididong.com/laptop/acer-aspire-e5-576-34nd-nxgrysv004"
"Acer Aspire A315 51 39DJ i3 7130U (NX.GNPSV.030)","10.990.000₫","https://cdn.tgdd.vn/Products/Images/44/156804/acer-aspire-a315-51-39dj-i3-7130u-nxgnpsv030-300-600x600.jpg","Màn hình: 15.6 inch, FHD","CPU: i3-7130U, 2.7 GHz","RAM: 4 GB, Ổ cứng: 1 TB HDD","Đồ họa: Intel HD Graphics","HĐH: Windows 10, DVD: Không","Nặng 1.83 kg, PIN 2 cell","https://www.thegioididong.com/laptop/acer-aspire-a315-51-39dj-i3-7130u-nxgnpsv030"
"Dell Vostro 3468 i3 6006U (70142649)","11.290.000₫","https://cdn.tgdd.vn/Products/Images/44/166382/dell-vostro-3468-70142649-450-600x600.jpg","Màn hình: 14 inch, HD","CPU: i3-6006U, 2.0GHz","RAM: 4GB, HDD: 500GB","VGA: Intel® HD Graphics 520","HĐH: Windows 10 Home","Nang 1.95 kg","https://www.thegioididong.com/laptop/dell-vostro-3468-70142649"
"Dell Inspiron 3567 i3 7020U (P63F002N67T)","11.690.000₫","https://cdn.tgdd.vn/Products/Images/44/185153/dell-inspiron-3576-i3-7020u-450-600x600.png","Màn hình: 15.6 inch, FHD","CPU: i3-7020U, 2.3 GHz","RAM: 4GB, Ổ cứng HDD: 1 TB","Đồ họa: Intel HD Graphics 620","HĐH: Windows 10, DVD: Có","Nặng 2.3 kg, PIN 4 cell","https://www.thegioididong.com/laptop/dell-inspiron-3567-p63f002n67t"
"HP 15 da0048TU N5000 (4ME63PA)","7.690.000₫","https://cdn.tgdd.vn/Products/Images/44/177631/hp-15-da0048tu-4me63pa-33397-ava1-600x600.jpg","Màn hình: 15.6 inch, HD","CPU: Pentium N5000, 1.1GHz","RAM: 4GB, Ổ cứng HDD: 500GB","Đồ họa: Intel HD Graphics","HĐH: Windows 10, DVD: Không","Nặng 1.77 kg, PIN 3 cell","https://www.thegioididong.com/laptop/hp-15-da0048tu-4me63pa"
"Asus X441MA N5000 (GA024T)","7.290.000₫","https://cdn.tgdd.vn/Products/Images/44/191993/asus-x441ma-ga024t-450-600x600.jpg","Màn hình: 14 inch, HD","CPU: Pentium N5000, 1.10 GHz","RAM: 4 GB, Ổ cứng HDD: 1 TB","Đồ họa: Intel HD Graphics","HĐH: Windows 10, DVD: Không","Nặng 1.7 kg, PIN 3 cell","https://www.thegioididong.com/laptop/asus-x441ma-ga024t"
"Lenovo Ideapad 120S 14IAP N4200 (81A500JYVN)","6.990.000₫","https://cdn.tgdd.vn/Products/Images/44/194252/lenovo-ideapad-120s-14iap-n4200-4gb-64gb-win10-81-15-600x600.jpg","Màn hình: 14 inch, HD","CPU: Pentium, 1.10 GHz","RAM: 4 GB, Ổ cứng 64 GB","Đồ họa: Intel® HD Graphics 505","HĐH: Windows 10 Home SL, Không DVD","Nặng 1.44kg, PIN 2 cell","https://www.thegioididong.com/laptop/lenovo-ideapad-120s-14iap-n4200-4gb-64gb-win10-81"
"Acer Spin 3 SP314 51 39WK i3 7130U (NX.GUWSV.001)","11.990.000₫","https://cdn.tgdd.vn/Products/Images/44/145919/acer-spin-3-sp314-51-39wk-i3-7130u-nxguwsv001-cava-600x600.jpg","Màn hình: 14 inch, FHD","CPU: i3-7130U, 2.7GHz","RAM: 4GB, Ổ cứng HDD: 500GB","Đồ họa: Intel HD Graphics 620","HĐH: Windows 10, DVD: Không","Nặng 1.7 kg, PIN 3 cell","https://www.thegioididong.com/laptop/acer-spin-3-sp314-51-39wk-i3-7130u-nxguwsv001"
"Acer Aspire A515 53 3153 i3 8145U/(NX.H6BSV.005)","12.490.000₫","https://cdn.tgdd.vn/Products/Images/44/198789/acer-aspire-a515-53-3153-i3-8145u-4gb-1gb-win10-n-33397-thumb-600x600.jpg","Màn hình: 15.6 inch, Full HD","CPU: Core i3 Coffee Lake, 2.10 GHz","RAM: 4 GB, HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2 PCIe","Đồ họa: Intel® UHD Graphics 620","HĐH: Windows 10 Home SL","Nặng: 2.0 kg, Pin: 3 cell","https://www.thegioididong.com/laptop/acer-aspire-a515-53-3153-i3-8145u-4gb-1gb-win10-n"
"Acer Aspire E5 476 50SZ i5 8250U (NX.H33SV.001)","13.990.000₫","https://cdn.tgdd.vn/Products/Images/44/175844/acer-aspire-e5-476-50sz-nxh33sv001-33397-thumb-333-600x600.jpg","Màn hình: 14 inch, FHD","CPU: i5-8250U, 1.6 GHz","RAM: 4 GB, HDD: 1TB(+16GB Optane)","Đồ họa: Intel UHD Graphics 620","HĐH: Windows 10, DVD: Không","Nặng 1.85 kg, PIN 4 cell","https://www.thegioididong.com/laptop/acer-aspire-e5-476-50sz-nxh33sv001"
